Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
NUVL,NUVALENT INC CLASS A,Health Care,Equity,76475632.2,0.1,76475632.2,952374,80.3,United States,NASDAQ,USD,1,USD,-
VCTR,VICTORY CAPITAL HOLDINGS CLASS A I,Financials,Equity,76442041.68,0.1,76442041.68,1153668,66.26,United States,NASDAQ,USD,1,USD,-
TWST,TWIST BIOSCIENCE CORP,Health Care,Equity,76033557.99,0.1,76033557.99,1578606,48.16,United States,NASDAQ,USD,1,USD,-
FOLD,AMICUS THERAPEUTICS INC,Health Care,Equity,76006672.11,0.1,76006672.11,7892697,9.63,United States,NASDAQ,USD,1,USD,-
VCEL,VERICEL CORP,Health Care,Equity,75792151.89,0.1,75792151.89,1322033,57.33,United States,NASDAQ,USD,1,USD,-
NARI,INARI MEDICAL INC,Health Care,Equity,75739949.05,0.1,75739949.05,1429865,52.97,United States,NASDAQ,USD,1,USD,-
CATY,CATHAY GENERAL BANCORP,Financials,Equity,75638980,0.1,75638980,1574500,48.04,United States,NASDAQ,USD,1,USD,-
UEC,URANIUM ENERGY CORP,Energy,Equity,75475268,0.1,75475268,10766800,7.01,United States,Nyse Mkt Llc,USD,1,USD,-
SLVM,SYLVAMO CORP,Materials,Equity,75304083.08,0.1,75304083.08,947698,79.46,United States,New York Stock Exchange Inc.,USD,1,USD,-
AMBA,AMBARELLA INC,Information Technology,Equity,75297395.65,0.1,75297395.65,1024315,73.51,United States,NASDAQ,USD,1,USD,-
UE,URBAN EDGE PROPERTIES,Real Estate,Equity,75294566.49,0.1,75294566.49,3523377,21.37,United States,New York Stock Exchange Inc.,USD,1,USD,-
PRGS,PROGRESS SOFTWARE CORP,Information Technology,Equity,75226632.52,0.1,75226632.52,1148849,65.48,United States,NASDAQ,USD,1,USD,-
NSP,INSPERITY INC,Industrials,Equity,75167909.08,0.1,75167909.08,978494,76.82,United States,New York Stock Exchange Inc.,USD,1,USD,-
